Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
9,1622577023024,01/06/2021 19:50:23,1622577021965,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,END QUESTIONNAIRE,50250
1,1622578238292,01/06/2021 20:10:38,1622578238097,1,01/06/2021 21:10:38,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1440x721,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622578253002,01/06/2021 20:10:53,1622578252816,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Sex,Female
3,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Sex-quantised,1
4,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Age,18-24
5,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Age-quantised,1
6,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,field,sociology
7,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Ed_level,Masters
8,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,Ed_level-quantised,3
9,1622578253190,01/06/2021 20:10:53,1622578252818,1,01/06/2021 21:10:52,53470,3,questionnaire-uqlw,,13186390,5debb7511e806c2a59cad664,3969123,,complete,,60b6942dd75baec7fbfbe4dc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1425x721,,demog,7,No,END QUESTIONNAIRE,14721
END OF FILE
